eis_id,title,document_type,lead_agency,state,all_states,filed_date,filed_year,federal_register_date,comment_letter_date,comment_due_date,epa_impact,epa_adequacy,attachment_count
76710,Southwest Middle School Project Construction and Operation Site Approval and CDBG Funds City of Rochester Monroe County NY,Final,Community Development Block Grant,NY,NY,1994-09-02,1994,1994-09-09,1994-10-13,1994-10-10,Lack of Objections,1.0,0
78940,US 119 Highway Transportation Project Construction or Reconstruction from Partridge to Whitesburg Funding and COE Section 404 Permit Letcher County KY,Draft,Federal Highway Administration,KY,KY,1994-09-06,1994,1994-09-16,1994-10-31,1994-10-31,Environmental Concerns,2.0,0
78349,US 71 Highway Transportation Project Construction between Texarkana to Louisiana State Line Funding Right-of-Way and COE Section 404 Permit Miller County AR,Draft,Federal Highway Administration,AR,AR,1994-09-07,1994,1994-09-16,1994-12-05,1994-10-31,Environmental Concerns,2.0,0
79087,Lake Arterial Extension WI-TH-31 to Layton Avenue Funding and Possible COE Section 404 Permit Kenosha Racine and Milwaukee Counties WI,Final,Federal Highway Administration,WI,WI,1994-09-07,1994,1994-09-16,1994-10-19,1994-10-17,Lack of Objections,,0
75788,Briggs Open Pit Heap Leach Gold Mine Project Construction and Operation NPDES Permit and COE Section 404 Permit Inyo County CA,Draft,Bureau of Land Management,CA,CA,1994-09-08,1994,1994-09-16,1994-11-21,1994-11-21,Environmental Concerns,2.0,0
78877,US 67 Construction US 67/167 to I-40 West/I-430 Interchange around the North Little Rock Metropolitan Area Funding Pulaski County AR,Final,Federal Highway Administration,AR,AR,1994-09-09,1994,1994-09-16,1994-08-30,1994-10-17,Lack of Objections,,0
84510,Grissom Air Force Base (AFB) Disposal and Reuse Implementation and Possible Permits Issuance Cass and Miami Counties IN,Final,United States Air Force,IN,IN,1994-09-09,1994,1994-09-16,,1994-10-17,,,0
78948,I-65 Reconstruction Project from the Ohio River to IN-311 at Sellersburg Funding and COE Section 404 Permit Clark County IN,Draft,Federal Highway Administration,IN,IN,1994-09-12,1994,1994-09-23,1994-12-02,1994-11-09,Environmental Concerns,2.0,0
81576,Jewel Cave National Monument General Management Plan (GMP) Implementation Black Hills National Forest Custer County SD,Final,National Park Service,SD,SD,1994-09-12,1994,1994-09-23,1994-10-24,1994-10-24,Lack of Objections,,0
81787,Wind Cave National Park General Management Plan (GMP) Implementation Black Hills Custer County SD,Final,National Park Service,SD,SD,1994-09-12,1994,1994-09-23,1994-09-16,1994-10-24,Lack of Objections,,0
